DECISION (H/M),YOUR_SCORE,ORIG_INDEX,STRING
human,0.9362963,60,rsprsprpsprpsprsprpsprsprsprsprpsprpsrpsprspsrprsprsprsprpsprprsprpsrprsrpsprprsprsprspprsprspsrprspsrppsrprsprsrspsrprsprsprsrsprspsrpsprsprsprspsrprsprsprprsprsprsprsprsprsprsprspsrsprpsppsprpppsrpsprpsprpsprpsprpsprpsprpsrpsprpspssrrrrpspspprpsppsrprpspspsprsprsprpsprpsprpsprpsprppsppsprrsprprpsp
human,0.69333333,61,prpsrpsrspsrprsprsprsprspsrrrrpspspspspsrprprspsprpspprpsprpsprpspsprpsrpsprsprprsprsprspsrsprsrpsrsprpsrpsrprsrrrrrrprspssrrrprpppppssrprprpsprpsrpsrspsrprsprsprsprspsrrrrpspspspspsrprprspsprpspprpsprpsprpspsprpsrpsprsprprsprsprspsrsprsrpsrsprpsrpsrprsrrrrrrprspssrrrprpppppssrprprpsprpsrpsrspsrprsp
human,0.79185185,62,sprpsprsprpsrpsprsprpsprsprpsprsprpsrpsprpsrpsprpsrpsprpsrpsprpsrpsprsprpsprsprpsrpsrpsprpsrpsprsprpsrpsprsprpsrpsprpsprsprpsrpsprpsrpsprsprprpsprpsrpsprpsrpsprpsrpsprpsprpsrpsprpsprpsprsprpsprpsprpsprpsrpsprpsrpsrpsprpsrpsrpsrpsprpsrpsprpsrprpprprprsrpsrprpsprpsrpsprpsprsprpsrpsprpsrpsprpsrpsprpsrp
human,0.89777778,63,srpsrpsrpsrpsrpsrpsrpsrpsprpsrrpssprprspsrpsrpsrprsprsrpspsrpsrpsrpsrprpssprsrpprsprsprspsrsprprsprspsrpsrpsrpsrprsprsprsprspsrprprpsrpsrprspsrprsprsprpssprpsrpsrpsrpsrpsrpsrprsprsprsprsprspsrprsprsprsprsprpsrpspsrprspsrpsrprspsrpsrprssprprsprspsrpsrpsrpsrpsrpsrpsrprsprsprsrpspsrpsrprsprsprsprspsrpp
machine,0.21851852,64,psrrrrssrpprrrrsrrspspsprpsrpsrrrsrpsspprsrprspsrprrssrspprspssprrppprsprsrpprrsrrrrsrppsssprsssspssrppppprsssrppssrsprrsprrrrsrrssprrrpssprsprppsrsssspsrrrppsrsprssrsrsssprpprrprsppspppsprrrrrsppsrrsssssrpsrrpsprppsrrpsprrsrsrsrsprrrrpsppspssprprpsrssrrrprprppssssrsrrssrsrrrrsspsprrspprrpprspppssss
human,0.65185185,65,rpspprprsprprpsprpsprpsprprsprspsprsprpssspppprrrrssspspspspspspspsppspppppppprrrrpsrpspppssrrrsssppsprsppsrpspprsppsprpspsrppspsppsrpspprpsrppspsprpprppspprprrrrpppppprsrsprspsrpsrppspspprsprrprpspsprppsrpspprpprprppspprpprpsprpsprpppsprrrssppppsprpsrprpsrpspprprsprprpsprpsprpsprprsprspsprsprpssspp
machine,0.17703704,66,rsrrpsprpspsrppprsrpprsrprrprsspppprsrrppprrrspssrpprsrsrprprrssprsrsppsrsppprpsrpspsrrssrprrrppssrrrrrsrsssrrsprrssppsrprprpprpspssssrrrprppsrrsrspsprsprsrsprrrssrrspprpsppsrssprprprspprprrppprrrpprrppprpsssppssrpsrsrsprpprsrprppsssrsrrrpsrspspsrrssprsppspsppssrssrpprppsppsrpsrrrpsrrprprpppsprssspp
machine,0.1837037,67,prsprsrrrrrsspsrspsrsssppsrrprssssrpsrspsrrprrrppsrsrrrssprsprrpsrrrspsrprsprpsppssrrrrprpspssprpsrpprprrsrsppppsrpspsrspppspprprspsspspsssprssprprrpspsprppprsssrssssprpsssrrpsspppspsrpssprrppspsrspppprspsrppsrpssrssprrsspprppssprsppsssprpppprrprssrrsrrssrppssppppsrrrpsrpssrrrrpspspppprrprpprrrrssrr
machine,0.24444444,68,prsrrpsrrsrpssppspssrsrspsprsprspsprrspsrpprppppppsrpsrppppsssppspppssrrrsrpprpsspssrpsprrsrsssrrppprprrrrpspsrrsrrprsssrprpsprrrsrrprrprsrppssspsrpprpsrrpssprsrrpprppspsssprssrpprprrpssrspprssppsrsppsppsspsrrpsppprppppssprssrrpsrrprsrppssprpsrrpssssrrpspppsprpsrrsprrpsrsrrrprrssrsrsrpsrsrppsrsprssp
machine,0.21037037,69,srsrpprrpprsrrpsppspssrrpsrsprrppprssrsppsrpssrsrrrsrsrsrspsrsspsppprrrssprrrppsppprrspsrrrpprrprsrpsssrprsspprsprspprprpssrpspssrprssprsprprsssspssprsrsrpsppsspppprrrsppppsrrprsrrpssprsppsspsrprpssppssrsppsrpsrpprppprsrsrssppssrssrppsprssssrspspsrrpssssppssspprssprppsppsppsrppprrssrssrrsprrsrrpsrrs
human,0.70740741,70,rsrsrsrsrsrspppsrsrpprsrpsrsrsrpprpsprpsrsprpsrprprsrsrsrprpsrsprpsprprsprsrspsprsprsprsprsprrrsrsrssppppsrsrpsrspsrsppsrpsrpsprsrsrsprsprsprspsrsprsrsprpspsprprpspsprprprsrsrsrsrsrspppsrsrpprsrpsrsrsrpprpsprpsrsprpsrprprsrsrsrprpsrsprpsprprsprsrspsprsprsprsprsprrrsrsrssppppsrsrpsrspsrsppsrpsrpsprsr
human,0.55185185,71,psrppsrpsprpsprpsprpsrppsrpsprpsrppsprpsprsprpsprpsprpsprpsprpsrppsrppsrpsprprsprpsprsprpsrppsrprsppsprspsrpsrppsrpsrprspprsprsprspsrprspsrprspprspsrpsrprspsrpsrpsrpsrpprsprsprspprsprspsrpsrppsprspsrprsprspprsprsprsprspsprpsrprsprspprsprsprpsprsprspsrpprsprsprspprsprspsrppsrpsrpprsprsprsprpsprsprpsr
human,0.89481481,72,psprpsprpsprprspsrprpsrprspsrprsprspsrpsrprpsrpsrprprpsrprsprspsrpsrpsrprsprpsprprsprsprpsrpsrpsrpsrsprsprpsrpsrpsrpsprsprpsrpsprsprsprsprpsrpsrpsrpprsprpsrppspppppppsrpsrpsrpsrpsrppppsrpsprpppsprprpspprprssprsprsprrpsrrrpsprpsprpsppsprpsprpsprpsprpsprprspsrprpsrprspsrprsprspsrpsrprpsrpsrprprpsrprsp
machine,0.24074074,73,spprsrrrpppsprpssrpspsrrrpsrsrrprpsrrspssrprrrpsssrrssprrsrpsrpsspsrprpsspsrprprspppspspssprrssrssprprrrpssspprprsrrrrssrppsprssprppprspprsppprssrpsrrsppsrpsrrsrppsrrrpspsrspsprpsrrpprpsrprsspssrrpsrrrrsrpprrprssssrpprsprrrpprrsrrsrpsrppsrrpsprsrprprprpsrrpsppsssrrpprrsssrppsspppsrsrrspppsrspssprpsr
machine,0.22740741,74,rppprprsrsprrrrrpsspprprrspsrprsrrspprpspssrpssrrrprspprssprsprprprrrppprsspsrrssrrpssssppspsssssspsprsprrpspspppsppprsrsrsspspsrrsrpprrpprsppprprpprrsspsspppsprpppprpppspprspsppspppssprrrsrrrrpsrsrssrpssssrspsrpsspsrssppspsrsrsrsprsssppprppprspprssrpppppprrprrsspsspsprspsrsspprppsrppprrprsrrrsrpspr
human,0.94814815,75,prsprsprsprsprsprsprsprsprsprsprsprsprsprspsrpsprprspsrsprrsprspsrprsprsprspprsprsprsprsprsprsprsprsprsprsprspsrpsrprsprsprsprsprsprsprsprsprspsrpsrprspsrpsrpprsprspsrprspsrpsrprspsrprspsrpsrprsprsprsprsprspprsprsprsprspsrpsrpsprpsrpsrprsprsprsprsrsprsprsprsppsrprspsrprsprsprspprspsrprsprsprsprsprsp
