DECISION (H/M),YOUR_SCORE,ORIG_INDEX,STRING
human or machine,0.042,60,rpsrprpsprsprpsprpsrpsprpsrpsprpsprppsprpsrpsprpsrpsprsprpsrpsprpsrprspsprpsrppsrpsprpsrpsprpsrpsprpsrpsprpsrpsrpprpsrpprpsrpsrpsprpsprprprprprprsprpsprpsrpsprpsprpsrpsprpsprsprpsprpsrpsprpsprpsrpsprpsprpsrppsrpsprpsrpsprpsrppsrpprpsrppsrpsppsprpsppspssssrrrrprprpspprspppsrpprpsprprspsrpsrppsrpsprps
human or machine,0.042,61,rsprpspsrpsprpppprprprprrprpsprpssssprpsrpsrpsrpsrprprprprprprprprrprprprpprpsrpspsssprprprprprpspsppppspsssssrprpsrpsrprprprprprprpsprpsrprprprprpsrpsrpsrprpprprprprprprpsprpsrpsrpsrpsrpsrpsrpsrpsrpprprrprpsprsprsprpsprpsrpsprsprpsrpsrpsrpsrpsprpssprrssrsrsrsrsrsrsrsrrssrsrprprprprprprprppsspsrpspr
human or machine,0.042,62,pppssrrsrpsrpsprrprppssrrsprpssrrprsppspprsrpssssprsrpspsrsrppsrsrrrspspspsrsrprpsssrrrrspppspsssrrsrrpprsprprrsppssssrprprpsspsssprsssrsrsrrrrpsppsrprpssrrsrrpsprpprrpssprppsrpprsprpspsrppsrssssspssrprpprsssrssprrssrrrpsprprpssprppprspsprrspprrsppsrsprsrspsppsrpsssppprrrssrrpsrrpppspssrsrssssspsrrp
human or machine,0.042,63,sprpsrpsprpsrpsprpsprsprpsprpsrpsprpsrpsprpsrpsprpsprsprpsprpsprsprpsprpsprsprpsprsprpsprpsrpsprpsrpsprpsprpsprsprpsprspprpsrpsprpsprpsprsprsprpsprpsprpsrpsprpsprsprpsprpsprpsprsprpsprpsprsprpsprsprpsprpsprpsprsprpsprpsrpsprpsprpsprsprpsprpsprsprpsprsprpsprpsprpsprpsprpsprpsrpsprppsrpsprpsprppsrpspr
human or machine,0.042,64,sppppspprrrrrrpspsppsprprrpspsprpspspspsprpspspspprpspspsprpspspspprpspspprppprprprprrpspssspspsrpspsrpsrpsrpsrpsprspspspsrpspsprpspsrppsrpspppprpsprpsrppsrpsprpspppsssprrppsprspspsppspsrpsrpprpspsprppspsprppsppppspprrrrrrpspsppsprprrpspsprpspspspsprpspspspprpspspsprpspspspprpspspprppprprprprrpspsss
human or machine,0.042,65,psrpspsrpsrpsrppsrpspspsprprspsprprspsrprspprprprpprprpsppspspppsrprpsrpsrpsprpsprsppsrprspprspsrpsrpsrprsprspsrpsrprpsprsprprspsrppsrppsrpsrpprsprspprsprsprpprsprspprspsrprspprsprspprsprspprsprpspppsprprpsrprppsrprpppppsrpsrpsrpsprsprsprpsrpsprppsppppsprpsrppsrpsprpsrpsrppsprpsprpsrpsprprspsrppsrps
human or machine,0.042,66,srsrsprrprsrpsrsprsrsrsrprsspprpprrppprsrrpsprspspssprsprrsprrrprpprprsrrprpprsrrsssrsspsrsrpppssrrsssrppsprpsssspsssrpsppprpprsrssssssrssrsppsspprrrrrssppsprpprsrsssssppssspsssrssrrspprspprsspprrrrsrrpsspsrsppprpprsrrrppsrrrpsprprprrpsrsrprrrrsprrprppsrsrrsssspppsrrprpprssrrpprrsrprpsprsrspssssrspp
human or machine,0.042,67,rprprprprsprsprprprprsrpsrsrprrprprrprprpsppsspsppprprsprpsprsprpsrprpprrrpspprprpsprspprprprprpprpssppppsssssssssrrrrrprppppspprpspsrprprsprssrssprpprppspssspprpprpspssprpprprrprsssssprpspspspsprprprpspsprpsrprpprprsprpprsprprprprpsssrprpprsprprpsrprprsrprprprprsprsprprprprsrpsrsrprrprprrprprpsppss
human or machine,0.042,68,psrprspprprsprprsprsprspsrprsprspsrprsprsprspprsrpspsrrpspsrprsprspsrpsrpprsprsprsprspsrpsrprpsrppsrprspsrprspsrpsrprspprsprsrpsrpsrpssprprsprsprsprsprsprsprspsrprspsrprsprspprsprsprsprsprspsrprsprspprsprsprsprsprsprspsrprspsrprsprspsrprsprpspsrprsprsprsprsprsprsprspsrprspsrprspprsprsprsprsprsprspps
human or machine,0.042,69,rprprrpssrrspssrrrprprrpspsssrssspsssrppppppsrppsrrsssspprrrrsrrssprrrssssssspppsssprprpssrppspppsssppprssrrpssppsrppprprrpssrsrrprrrppppsssprsprrrrspspprssspsrsrssrrpprpprsrprrprrsrspprsprspssspppprsrpsssprpprsprrpprrsrsrsrppprsrrspssrsprsrssprprrprrrpssrrrpssrrsssprprprrrrrpsprssspspspprrrrppprrrp
human or machine,0.042,70,prpprprrrrpspsprprprprprppspspspsprprpspspsprprpspspspsprprprprspsrpspsssprsrpprprprpprpppsssssrsrsspsrpsrpsrpsrpsrsrsprsprsprsprsprsprsprsprprpsrpsrpsrpsrpsrpsrpsrpsprsprsprprrprprprprspsprpspsprprsprspprrpsspspsrprpsrpprsppssrprpsprsssssprrsprpsprpsrsprsppspsrpsppppprpspsprpsrprpsprrprprrssrprspsr
human or machine,0.042,71,pssppspssrprssprrrrprsppppsssrrssppprpprrrprsrrprrpprsspssrrspspsssrprrpsppsprsrspspprsrrpsrrrpsspspppppprrsrsrppspppppsrspsrrprpppssprpsppprsppsrrprppspssrsrsrsrpppprssppsrssppprsssprsppppssprprrrsprpprppsrpprpsrrpsppsssrrsppprssrssrsrpsrrrsrsspprpsrpsrsrpsrrssrsprsssrsssrpssrsrrrssppsppspsspspsrss
human or machine,0.042,72,rrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr
human or machine,0.042,73,prprsrprprrsprrsppsppppsprsprpppprssrrprrrsrsprpsrssrsspssprssrpprrrpprpppspprrprsrsspspssppsppprspsprsrrrssrprspssssrrrrpsrsssrpprrpprprsspsssppprpssrrpsprssrprpsprsrsrpsrrspsrpsssrssrrsrpspssrppprsspprspssrpprprrrsrpsppppprrssssspppsprrspsrssspsprpsrrsprrsrpppssrppspssspspssrsspprsrpprrpsssppsrprs
human or machine,0.042,74,srpsrrpprrpprrrpppspppsprprrrpspspssrrprpsprrprsrrsrprppprrssprsrpssssrspprsrprsprrpssrrpssssrsppppssrppprpsprrsrsrsrrsrpsrrppssprpsrpsssppsrspsssrsrpprrssrrspspsrrppprsrrrrssppssrrpspprpppssrrsrrppppppsrrsprrrrsprprrsspsrssssrssrpprrprsspsssrpsprrpprpppssppssprrprprpsrrrrspprrrpsssrrrssrpprrpprrspp
human or machine,0.042,75,spsrprspprsprsprsprsprspsrpsrprsprspsrpsrpsrprsprspsrprsprsppsrspsrprsprspsprrpprprsprspsrprspprsprsprsprsprspsrpsrprsprspsrpsrpsrprsprspsrprsprsppsrspsrprsprspsprrpprprsprspsrprspprsprsprsprsprspsrpsrprsprspsrpsrpsrprsprspsrprsprsppsrspsrprsprspsprrpprprsprspsrprspprsprsprsprsprspsrpsrprsprspsrpsrp
human or machine,0.042,76,rprsrssrprspsrrpspssrssrrpsppsrssppspsrrsrrrspsspsprspsrspsrsrrppprsppssrsrspssrsrspspsssrppppsrrsrsrprsrsprsrpspsrpspsrrsrpsprsrsppppsprsrrsrspspsprsrsrrsrrrsrssrsrssppspsrppspppsrrrspppspsrsrsppsrsrsrssssssrpppsrspsprppsppsrsrrrsrsrrpprpssssrprsrssrprspsrrpspssrssrrpsppsrssppspsrrsrrrspsspsprspsrs
human or machine,0.042,77,psrpssrsssrsprsppppssprpppsppsssrrrpprrprrsrpprrsprsprpssspsrrrpsrpsrrppppspsppprprsrpprrrpprsspppprsspsrrsrsrprpspsrsprspsrrspprppspppsspsprsrrrrprpsrrrrrrsssprssprsrssssprrrpppprpprppsrprpsrpspssrsspsrssprrrprssrrssrsrprpsrsssrsrpsrprrrpprprrrrsrrsrrsrpssrppsssrppsrppsprsspppsprrprrssrpsrspssppsss
human or machine,0.042,78,psrprsprpsrpsrpsprpsrpsrpsrppsprsrpsrpsrpsrpsrpsrpsrpsrprsprspsrpsrpsrpsrpsrpsrpsrpsrprspsrpsrsrppsrrpssrpsrpsrpsrpsrpsrprspsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrsrpsrpsrpsrpsrpsrpsrpsrpsrppsrsrprpspsprpsrpsprpsrpsprpsrpprpsrpsprpsrpsprpsrpsrpprpsrpsrpsprpsrpsprppsrpsrpsrpsrprrpspsprpsprpsr
human or machine,0.042,79,rsspprpppppprpppspppprssrssrsprrprppsrsppprssppsrprpssrssprrspssssppsprrssprsspprrsprprrsprrpssssrsrsspspspsprsspppspspsssrpsprrpssssprrpprrrsrpprpsrrsprrrprrrpsprpsrrprsrsprpppsrsppsspppssssssrsppprpssppsrrrrsprpprrrsrsssspsspspprprrsprsrrrpssrrpsppprpsrprsrspsprrrrsssrrprspspprprrprsrrsrsrprsprrsp
human or machine,0.042,80,rrpsppprprprrsspsppsrpsppsrrpsrrsrsrpsprsspsrprrrpprspspsrsssprrssprprpsspprspssprrprppppsssprrrrpprsprrpssppssprsrprrrrrspprprrrssrpsrprrrsrspsppspprprrsrpsppsrpsrrpsrrprrsrrprrsprsrprspsrpsssrpppsssrpsprrssrrsprrprssspprsrrrrpsrpprsprrssssspssrppprppppppsspssrsrrrrssppsppsssrpprrrpsprpsprprprprpsp
human or machine,0.042,81,ssppprpsspsrpprpsssrssspsrpppprrrsppppppppssrrsspsppssrppprrrssprspsppppspspprprrrprsrssspspspssrprprsrprpppspprrssrsssrrssrsrsprsssssssprpsssrsspsprpsrssrsrssppprprsspssprpsspsrssrrprpsprrprpprrpsrsrppsprsrppsrrrssprrrprspsprsssppspssrrprprppsrppsrssrsppsssrrpsspppprsspsrrprrsrsrssspssrsprrsprsrrss
human or machine,0.042,82,rpsrpprspspsrprsppsrprspsrpprspsrpsrpsrppsrpsrsrppsrpsrpsrpsrppsrpsrpsrppsrpsrpsprpsrpsrppsrpsrpprsprspsrpsrprsprsppsrprspsrprsppsrpsrppsrpsrpsrpprspsrpsrppsrpsrpsrpsrpsrppsrsrpppppsrpsrpsrpsrpsrppsrsrppsrpsrpprspsrpsrpsrpsrpsrpsrppsrpsrppsrpsrpsrpsrppsrprspprspsrpsrpprsprspsrppsrpsrpprsprspprspsrpr
human or machine,0.042,83,psprsprpsrpsprspsprpsrpsprsprpsprsprpsrpsrpsprsprpsrpsprsprpsprpsrpsrpsrprsprpssprpsrpsrpsprsprpsrppsrpsprsprpsrpsprsprpsrpsprsprpsrpsprsprpsrpsprsprpsrpsprsprsprpsrsprpsrpsprsprpsprpsrprpsrpspsprrspsrpsrpsrpsrprspsrprspprspsrpsrprpsrpsrpsrprprspsprpsrpsrpsrpsrprsprspsprpsrprsprpspsrpsrpsrpsrpsrppsr
human or machine,0.042,84,rsrrsppsprsspsprspsrppprpsrsrspprsrppssrpprrppssspppsspsssspspprsprrppsrrpsprppsssppsrrrpsssppsrrpsrpssssrrprpprprrrsrssrrrspppppssprrpppsrssrrrprpprsrrrsprpsrrppsppppprsrssrrppsrrrrpsrrspppsrrsspspsprrpprspsrpssspppsrrsrsprppprrrrrspsspssprrrpspprspsprsssrprssrprprpprsssrsssrrrpsprssppprspprrspsrss
human or machine,0.042,85,rpsprrpprrpprprpssrsrsprrprrprrrrrsrsssrppssssrpsssrppsprrpssrssrpsssppssrpsprrprrrrspsrpsrppprrsrpsrrsrsrpprssrspprrrsrpssrpsrsppspprprpsrsrprpsppssrssrspprrsrsprsrppprrspsrspsrsspsrrssrsprspssrrsrsrrpsrsrppprppprpssprspprsrrrpprrspspspsrrrpppsprprppssrsprrppsrsrprpsrssspppssssrprpspspspsssrspppsps
human or machine,0.042,86,sspsrrrssrrsprrsprspprrsrppprspspssppssspspspsppppspsrspsprprsssrrsspssrprpprsrsppppprrrpspsrssrsprpspsrpsspspppsprpssrrssrspspppppsrspssrsprpsspsprsrsspprrspprrssrrprrrsrrrsrsrrprsrsspssrsrprprspsssssprppspsrpsrrssrsrprprsssrrrprspsprrssppprpprprpppsppsspspsrrsspsprppprrprrssrrpsprspsprrpppsssrsppp
human or machine,0.042,87,psrpsrprsprsprpsrpsrppspsprprprpsprprsprpsrpsprpsrpsprpsrpspsppspsprprprprpssrpsppssppspppprprpspspspsprpsrpspprspsrpsprpspsprpsprpspsrprsprpsrpsprprpsprpsrprppsrpsrprprrrrspsprpsrpsprspsprspprspsrpsrprsprpspsrprspsrprsprsprspsprpsrpsrpsrpsppspspppspsprpsprspprpsrprspprspsrpspspspprprpsrprpsrpprrrsp
human or machine,0.042,88,sprpprprpsprprppsprpsprpprsprpprprprppprppsrpsrpprprpprpprprppspprprpprpsrpprprppprpsrpsprppsrprspprprprprprprprprprprpprrpsprprpsrpsprpprsprpprprpsprprppsprpsprpprsprpprprprppprppsrpsrpprprpprpprprppspprprpprpsrpprprppprpsrpsprppsrprspprprprprprprprprprprpprrpsprprpsrpsprpprsprpprprpsprprppsprpsprp
human or machine,0.042,89,sprrprrsppsppsrrsrprrrrssrpsrrrrssrrssrrrrpsprpprppppsspsppsprrpprpsrpprrprssprrrppspprprrsrpssspsprsrrssrprrrpprppsrrrrspsrpprpprpsrpspssprppsprsrsrppspprsrrpppspsrssprrprprsprpprsrssprppsrsrspspsrspprrsrpprsrpsssrpprpppssrrsrpprsrrprsssrpspprspsrpssrppppsrppspprrrsrpspsprprprspprrrssrsrpppsrrrpssr
human or machine,0.042,90,srpsprsppsrppsrppsprpspspspsrpsprpsprpsprpspsssrpsprprprprrprrrpspsssrpsrppsrpsprpsrpsprppsprpsprprssprppspsrpsprpsrrprrpsprspsrprspprpsrppsprpsprpsprpsprpsprpprprrrrsprspprpsprpspprsprsppsrpsprpprrrsprppsprpsprpsrpsprpsprpsprppsprpsrpsprpsprpsprpsrpsprprprsprprprrrprpsrppsrrppsrprsprsprppsrrrprpspp
human or machine,0.042,91,prpsrpssspprpsrpprspsprssrsssrsprrsrsprsprprrpsrrrprsrrprsprsrrprsrspsrpsrspsrpsrrprspsrprprpsprrprprspsppsrpsrprpsrpsppsppsprpsrpspssrpspspsssspsrrpssssprpsspprssprsrsrpsrppsrsprpsrpsssppssprpsprpsprpssspsprpspsprpsrpssrppsrpsprprpsprpsprpspspsprppprpspsrpsprspsprpsrpssspprpsrpprspsprssrsssrsprrsrs
human or machine,0.042,92,rsprspsrpsrppsrprsprspsprprsprsprspsrppsrprsprsprsprsprsppsrprsprspsrppprssrpprsprsprspprspprspprsprspsrpsrpprsprsprsprpsrprppsrpsrprpsrpsrpsrppsrpsrpsppsprspsprsprprpsprsprsprspprsprpsrpprsprsprspprspsrpprsprsprspprsprsprprspprsprsprspprsprsprsprpsprsprsprpsprsprspsrpsprrsprpsrpsrspprsprsprspsrprsp
human or machine,0.042,93,spsrsrspspsrpssprspsrpsrpsprpsrrsrsrpsprspsrpsprsrrsrspsrsrpsrsrprsrpsprsprsrrrsrsrsrrsrsppspprspsprsrspprsrrrspsprspspprpspsssrsrspsrsrspsprsrspsrspppsrsrpspspspsrsrsrrspspsprsrsrspspsrsrpppsprrsssrsrsrspspsrssrrsrsprspspsrspprsprpspspsrsrspspsrpssprspsrpsrpsprpsrrsrsrpsprspsrpsprsrrsrspsrsrpsrsrpr
human or machine,0.042,94,rrssprprpspsrsrrssrpspsprrppssrsrspsprprprspprspppsspprsprppsrpsssrsrprsrrprrsprsspsrprsprrrsspsrppsrsprpprpspsprppsspsprpssrpssrrrrsssssspsprssspspprsrrpsrrppsrsprrrsspsprrssprsprrrrrssrprprspprspprrssspsrsppsrsspsprrrrsrpssprrrpssrsrprpsrppprsppsssrsssprrsppssrsprrssprpsrppppsrssppssprrpppsspsrsrr
human or machine,0.042,95,pppprprsssrssrrrrssssprprrssrssppssrprspsrppprrrrpprssssppsrrpssrsprssspprppssrsppprppssspsrpsrrsrrrprrrprsppppssrrpsrrprpssprspppspprrsspsrppspsrsspspprrpprppsrpspspsprrrsrssssrprssssrrpppsspssrprrrprsprspsrspsprssrppsrrrrpprpppprsssspppppprsrrrsrsprrrrrsppsrrrsrspspssrssprssspspsprpsssprrspsrsssrr
human or machine,0.042,96,spsppssrrrrrsppprrrrpsrpsppprppsrsrpprprssrprspspsrrprsrprrrspspsrsrpprsssrpsssssrrsspsprssprppppsrrprrprpsprrrspsrppprrpsrrppsprrssppssrsrpsrsprrpprspprpsrrrsrsrrrppspprppsrprrsrrpssrprssrrrsrssprrsrpsrrprpprprprrpprrrsspsspspssrprpsrrrrprrsrsssrrrpssssssppspsprpsrrpsprpppssrprprrsrsrrrpssprssrrprr
human or machine,0.042,97,rsrpsprsprsprsprrppssppspsrprsprsprsprsprsprsprsprspssrsprpssrsprsprsrspsrpsprsprsprsppppspsrsrpsrprspsprprspsprsprpssrprpsspsprpsrspsprsprsprsprsprpspspspspsprprrrrrpsprpssrpsrpsrpsrprsprspspsrpsrpsrpsrpsprsprsprsprsprspppsrpsprsprsprsprspssprspspsrpssrprsprsprsprsprssrpsprprsprspsrpsrpsrpsrpsrspsp
human or machine,0.042,98,rprrrrrsrrpsrssprsprsrrsrrspspppprrrppprrpprpppsrpsrsppssppsssrppprprrrrpsrrrrrprsppprrpsssrrrsprrspprrrpspprprrrspsprprpssrssrssprssrpsprsrsrsrppsppsprrprsrrpppprpspppsrrpprsssspprspsppsrsspprprrsspsrrspsrpspprsrpssrrrpsrprrprrsprsprrpsssspsspsrsrprrrrsrprrrrrrspprrpsprsspppppprppsprssspprsrrspprrr
human or machine,0.042,99,ppprrrrrrrrpppspsprpsprsprsprsprssprspspspspspspspsprprprprprprprpprppprrrpprpspprppspprppspprpppsppprppspprpspprpsppsspprppspsrprprpsrpsprpsprsrppprrssppprrsssppprrrrrrrrpppspsprpsprsprsprsprssprspspspspspspspsprprprprprprprpprppprrrpprpspprppspprppspprpppsppprppspprpspprpsppsspprppspsrprprpsrpsprp
human or machine,0.042,100,rrrrrrrrspspsprsrrrpsrsprrsprpsrpsrpsrpsrprsprsprprprprprprprprssssssssrpsrpsrsprsprsprsprsprpsrpsrpsrpsrpsprsprrprprsprspsssrsrsrsrsrsprsprsprsprsprpsrpsprsprprrprpsrsprsprsprpsspsppsspspsprsprsprsprprprprsprsprsprpsrpsrpsrpsprsprpsrprprprsprsprsprpsspspspsprsprsprpsrprprprprprsprpsrpsrpsrpsrrspssp
human or machine,0.042,101,ppsspspppsrpsrsrrpsrprpprrprspsrpprsssprspsprrspprpsssrrsrrpsppprpsppsrrpsppprsrsspsrssrpssrprsrsssprpprrppssspsprrppppspsrrspprprsssprrrsppprprpprppsrrppprpprrrrppsprsprrpprpsrrssrsprsrsprsrpsppsrrpppssrssspsrpppsprsspsppprrsrppssrpppsrpsspprsssssrrsssprsssssrppprpppsppsprrssrrrrrrsprrpsprssrrrpsrr
human or machine,0.042,102,pssprrrssrpsrrssspprprrsrrprrrrrpsprsrpsrsspssrspprrrsrprrspprrpsprrprprpprprrrrppsprrspssprrrsssrsprrspssprrrprrpprrpsssprpsprrpppsprrsrprprsrppsrpsspspspsprssprsrrprpprsrpspsrssrsppppssrsrprsprpsrrrprrpsrssrrrssprprrpsprppssprsrppprrrprrsrsrsppprrsrprrrrsppsrssprspsrpppprsrrrsrspprrppsrpprrspsssps
human or machine,0.042,103,rppprprpsppsppsrrspprrrrsrrsrrsprrpppppprssssrpppsrrsrrrpsrrrrssrspspssprprrrprrprprprrrspspsrprrprrpppsrppppprrssssrrpsprpprrrsprppprrrprrrrrrrspprprrsrpsssrsrsprsrsspsrrppsrrrppprsppsrrpsrppsprpspsprssrppsrrspspppsrspsrpprrspspssprpprrrrspprrpsrsspssprrrssssrpprrrsprpsprspsprsprpprprsssprrpsrrpppr
human or machine,0.042,104,rprppsssrrrpssrpsprsrrrssrsrpsppsrsprssrssprrsprrppprrrrpssrsrppsppsrsrrsspprrrsrpsprsrsrprprrssrrsrrpssprpsprpppppspprrrprsssppspsrrrpsrrsrrprsspsspppprrpsrsrspsrpppsrsprrrpppsprrpprsssrssppsrpspspppsspppsrpsrsrspspsrrssspsprpspppsssppssrrprsrspssprrrsspsprrpsprsrspssrrpsrsssprsppppssrrpssrrsspprps
human or machine,0.042,105,rsprpsprsrsprpsprpsprsrrsprppprppsprppsrpsprpsprpsprpsprpspspppsrprpsprpsrsrsprpsprppsprsrpsprpsprpsprsprsprpsprppsprpsprpsprppsprpsprprpspprpsprpspprprpprspprsprsprpsprpsprppsrppsprsrppsprspprsprprpspprpsprsrpsrsssrsppsppspprsprsprpsprsrsprpsprpsprsrrsprppprppsprppsrpsprpsprpsprpsprpspspppsrprpsprp
human or machine,0.042,106,srpsrpsprrppsrpsrpsrpsprsprpsrpsprpsprpsrpsprpsprpsrpsprpsprpsrppsprpsrpsprpsrpsprpsprpsrppsrpsprpsprsprpsrpsprpsprpsrpsprpsrpsprpsrpsprpsprpsprpsrpsprpsrpsprpsrppsrpsprpsprpsprsprpsprpsrpsprpsrpsprpsprprsrpsprpsprprspsrprspprsprsprspsrprsprsprsprsprsprsprsprsprsprsprsprsprsprsprsprspsrpsrpsrpsrprsp
human or machine,0.042,107,srpsspprppppssprrsppssprrrrppssssrpprsrpprrrrrrrppsrsrrspsssprrprpprspppsppsrrpppssppssssrssprsrrsrsspprsppppprrppprrsrssssrspspssrrrrprprpssrprrrpspppspsrprrsssssspsrrrprrsrrrrrrrprrsrpsppsrssrrsssrrrsrrpsprppsrrprsrprprsppsrprrrrssspspppprsssppppprsrrpsspsprpsrspprprrpprpssspspppsrrpspprsrsrrppspr
human or machine,0.042,108,psrpsprsprpsrpsprsprpsrsprpsrpsprpsrpsprsprpsrpsprpsprpsrpsrpsprpsprsprpsprpsrpsprpsprpsrpsprpsprsprpsprrpsprsprpsrpsprpsprpsrpsprsprpsrsprpppsrpsprpsprprpsrpsprpsrrpsrpsrprpspprppsrpsprpsrppsprpsprrpsrpsprsprpsrpsprsprpsrpsprsprpsrpsprsprpsrsprpsrpsprpsrpsprsprpsrpsprpsprpsrpsrpsprpsprsprpsprpsrpsp
human or machine,0.042,109,psrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrrpsrpsrpsrpsrpsrpsrpsrpsrpsr
human or machine,0.042,110,psprpsprppsrppsrppsrpsprppsrppsprpsprppsprpsprpsprpsprprpsprsrpprpsprpsprpprppsppsprpsprppsprpsppspspspspsspssrrprsrpsprpsprpsprprsrpsprpsprpsprppsrppsrppsrpsprppsrppsprpsprppsprpsprpsprpsprprpsprsrpprpsprpsprpprppsppsprpsprppsprpsppspspspspsspssrrprsrpsprpsprpsprprsrpsprpsprpsprppsrppsrppsrpsprppsr
human or machine,0.042,111,rpsrpsprpspsrpsprpsrprpspppppppsssssssrrprpsrpsprsprpsrpsrpsprpsrprspsrpsrpsprpsrpsrpsprpsrpsrssrssssprsprprprpsrprpprprprprprpprpssssssspprprpsrpsrpsrpsrprsprspsrprpsrprsprprspsrpsrppsrpsrprsppsrpsprpsrpsprpspsppspspprsprpsrprspprspsrpsrpspprsprsprpsrpsrpsprsprpsrpsprpsrpsprpspsrpsprpsrprpsppppppps
human or machine,0.042,112,rssrrrsrspppsprpssrrspprprsppspsrsspprprpssprsrssppspssrrrpppsrppsssprrrpsspsssppsprprrrsprssppprrrrprrpsprpsrsrprrsppprpssrrrsrpprprspssrprpprsprrsprprrpprrpssprpprppsrsrpsspppsspsrpprrrrppsppssrprrsrprsppsrsprpsspssrrrpsrspspssrpppsrsssprrpssrpsrprprsrrsrrsrpprsrsppppppsrsrsrssrsprpsrpprsprppspprs
human or machine,0.042,113,rprprsrprrrrsprsprprspsrprsppsprppprpsppsppprrrrrrprspsprprpspspspprppsppppspsssssrrsrsrsprrprpssprprsprpprrpsprsspspsrprspsprsprsprspssssspsprprprsrprrrrsprsprprspsrprsppsprppprpsppsppprrrrrrprspsprprpspspspprppsppppspsssssrrsrsrsprrprpssprprsprpprrpsprsspspsrprspsprsprsprspssssspsprprprsrprrrrsprs
human or machine,0.042,114,rrrprrsppssrrssprprprsrpssrpsssssssppsprspsrsssrprsrspssssprrrprpsprrrrrspsprsrrsrrrsrprprrsrsppsrpsrspspsprsssrprsrpsrpspspspsppspssspssrppspsrrrssrrsrprrrrrsprrrsrrsrsppppprpprprsrrssprrrsrssrsrppprpprrrppprsppsrrsrsrsspprprpssppprssrsrppprrrpppsssrpsrrsprssrprprpppspsrprpppspssrprpssprsssssrprssr
human or machine,0.042,115,ppssrsprrrprpprspspprprrpsrrssrssrrssrpssprspprpsssrrrssrsrrsrpprprprppsppprrppssrpspspssrssprspssrrppppsrsppsrrppsssrrprpppsspspppppprrsssrppsspsspsppspppsrrsrrpssprssrpsrppssrrrrrspsrsrpssppsprprrprrsrsrpprpssssppsrprspppsprrrrpsrsppprspppsprpprrppspssrrprsprssrsrpsrprpspppssprrsppssspprrsrsrpsspr
human or machine,0.042,116,ppsrsppsrpsprpsrsppsrpprprpprpppppsrprrrsssprpsrpspsrsprprspsrprprprprprrpspsprpsprpsprprpsprpprspprppsprpsppsrpppsrsprpprpsprprprprprprppspspssspsspspsppsppsrpprpsprsprpsprprspsrpppsprsppsprrrrpsssprpspsrpsppsrsppsrpsprpsrsppsrpprprpprpppppsrprrrsssprpsrpspsrsprprspsrprprprprprrpspsprpsprpsprprpspr
human or machine,0.042,117,sprpsrpsprsprprrrrsrsprpsssssrprpppppsssrrpppsrrprprpspsprspprspprsprpsprsprpsprsprppsrpsprsprpsprpprrsssppsprrrpspspppprsrpppsrrrrppsssrrpprpsprppsprspppprssrrrrrsssspprpspprpsprpsppspprppsprpspprppppsrpsprspsrpsrpsrpsprsprpsrpsprsprprrrrsrsprpsssssrprpppppsssrrpppsrrprprpspsprspprspprsprpsprsprpsp
human or machine,0.042,118,rspsprsprspprspsrppsrrsprspprsprspsrprspprsprspsrpprsprpsprsprsprpspsrprsprsprpsprsrsprspprsprsprsprpsprpsprsprsprpsprsprsprsrssrpsrprsppsrprsprsppsrprsprsppsrpsrrpsprpsrpprsprsprpsprsprspsrpprspsrprsprsprspprsprsppsrpsrpsrppsrprsprpsprsprsprprpsprsprpsrpprsprsprspprsprsprspprsprsprspsrprpsprspsrprs
human or machine,0.042,119,rrsprpssprpprrrsrpssrssrppsprssspsssprrrrsrsprssrprsrsrrrsrsrpsppsrprssrrsppspsprrpprpssspsprrpssprpssrsspssprsprppprrspssspsrsprpsprsprrrrrpssppssrprpspprsrppppsrssrppspspppsrssrpsspssppsrsppsrrpssrspsrpprprsrrssssrrrsrsrpspspppssrrspsrprssrppssrrpppppprrrsrprpsspssrsssrrrrrrspsrsrpsppsrpprpspsrsrr
