pclass,survived,sex,age,sibsp,parch,sexnum
874,3,1,female,4.0,0,1,0
875,3,1,male,39.0,0,1,1
877,3,0,male,18.5,0,0,1
882,3,0,male,34.5,0,0,1
883,3,0,male,44.0,0,0,1
890,3,0,female,22.0,2,0,0
891,3,0,male,26.0,2,0,1
892,3,1,female,4.0,0,2,0
893,3,1,male,29.0,3,1,1
894,3,1,female,26.0,1,1,0
895,3,0,female,1.0,1,1,0
896,3,0,male,18.0,1,1,1
897,3,0,female,36.0,0,2,0
899,3,1,male,25.0,0,0,1
901,3,0,female,37.0,0,0,0
905,3,1,female,22.0,0,0,0
907,3,1,male,26.0,0,0,1
908,3,0,male,29.0,0,0,1
909,3,0,male,29.0,0,0,1
910,3,0,male,22.0,0,0,1
911,3,1,male,22.0,0,0,1
917,3,0,male,32.0,0,0,1
918,3,0,male,34.5,0,0,1
921,3,0,male,36.0,0,0,1
922,3,0,male,39.0,0,0,1
923,3,0,male,24.0,0,0,1
924,3,0,female,25.0,0,0,0
925,3,0,female,45.0,0,0,0
926,3,0,male,36.0,1,0,1
927,3,0,female,30.0,1,0,0
928,3,1,male,20.0,1,0,1
930,3,0,male,28.0,0,0,1
932,3,0,male,30.0,1,0,1
933,3,0,female,26.0,1,0,0
935,3,0,male,20.5,0,0,1
936,3,1,male,27.0,0,0,1
937,3,0,male,51.0,0,0,1
938,3,1,female,23.0,0,0,0
939,3,1,male,32.0,0,0,1
943,3,1,male,24.0,0,0,1
944,3,0,male,22.0,0,0,1
948,3,0,male,29.0,0,0,1
950,3,0,female,30.5,0,0,0
953,3,0,male,35.0,0,0,1
954,3,0,male,33.0,0,0,1
965,3,1,female,15.0,0,0,0
966,3,0,female,35.0,0,0,0
968,3,0,male,24.0,1,0,1
969,3,0,female,19.0,1,0,0
973,3,0,male,55.5,0,0,1
975,3,1,male,21.0,0,0,1
977,3,0,male,24.0,0,0,1
978,3,0,male,21.0,0,0,1
979,3,0,male,28.0,0,0,1
982,3,0,male,25.0,0,0,1
983,3,1,male,6.0,0,1,1
984,3,1,female,27.0,0,1,0
989,3,0,male,34.0,0,0,1
998,3,1,female,24.0,0,0,0
1003,3,0,male,18.0,0,0,1
1004,3,0,male,22.0,0,0,1
1005,3,1,female,15.0,0,0,0
1006,3,1,female,1.0,0,2,0
1007,3,1,male,20.0,1,1,1
1008,3,1,female,19.0,1,1,0
1009,3,0,male,33.0,0,0,1
1014,3,1,male,12.0,1,0,1
1015,3,1,female,14.0,1,0,0
1016,3,0,female,29.0,0,0,0
1017,3,0,male,28.0,0,0,1
1018,3,1,female,18.0,0,0,0
1019,3,1,female,26.0,0,0,0
1020,3,0,male,21.0,0,0,1
1021,3,0,male,41.0,0,0,1
1022,3,1,male,39.0,0,0,1
1023,3,0,male,21.0,0,0,1
1024,3,0,male,28.5,0,0,1
1025,3,1,female,22.0,0,0,0
1026,3,0,male,61.0,0,0,1
1033,3,0,male,23.0,0,0,1
1037,3,1,female,22.0,0,0,0
1040,3,1,male,9.0,0,1,1
1041,3,0,male,28.0,0,0,1
1042,3,0,male,42.0,0,1,1
1044,3,0,female,31.0,0,0,0
1045,3,0,male,28.0,0,0,1
1046,3,1,male,32.0,0,0,1
1047,3,0,male,20.0,0,0,1
1048,3,0,female,23.0,0,0,0
1049,3,0,female,20.0,0,0,0
1050,3,0,male,20.0,0,0,1
1051,3,0,male,16.0,0,0,1
1052,3,1,female,31.0,0,0,0
1054,3,0,male,2.0,3,1,1
1055,3,0,male,6.0,3,1,1
1056,3,0,female,3.0,3,1,0
1057,3,0,female,8.0,3,1,0
1058,3,0,female,29.0,0,4,0
1059,3,0,male,1.0,4,1,1
1060,3,0,male,7.0,4,1,1
1061,3,0,male,2.0,4,1,1
1062,3,0,male,16.0,4,1,1
1063,3,0,male,14.0,4,1,1
1064,3,0,female,41.0,0,5,0
1065,3,0,male,21.0,0,0,1
1066,3,0,male,19.0,0,0,1
1068,3,0,male,32.0,0,0,1
1069,3,0,male,0.75,1,1,1
1070,3,0,female,3.0,1,1,0
1071,3,0,female,26.0,0,2,0
1075,3,0,male,21.0,0,0,1
1076,3,0,male,25.0,0,0,1
1077,3,0,male,22.0,0,0,1
1078,3,1,male,25.0,1,0,1
1083,3,0,male,24.0,0,0,1
1084,3,0,female,28.0,0,0,0
1085,3,0,male,19.0,0,0,1
1087,3,0,male,25.0,1,0,1
1088,3,0,female,18.0,0,0,0
1089,3,1,male,32.0,0,0,1
1091,3,0,male,17.0,0,0,1
1092,3,0,male,24.0,0,0,1
1097,3,0,male,38.0,0,0,1
1098,3,0,male,21.0,0,0,1
1099,3,0,male,10.0,4,1,1
1100,3,0,male,4.0,4,1,1
1101,3,0,male,7.0,4,1,1
1102,3,0,male,2.0,4,1,1
1103,3,0,male,8.0,4,1,1
1104,3,0,female,39.0,0,5,0
1105,3,0,female,22.0,0,0,0
1106,3,0,male,35.0,0,0,1
1110,3,0,male,50.0,1,0,1
1111,3,0,female,47.0,1,0,0
1114,3,0,female,2.0,1,1,0
1115,3,0,male,18.0,1,1,1
1116,3,0,female,41.0,0,2,0
1118,3,0,male,50.0,0,0,1
1119,3,0,male,16.0,0,0,1
1123,3,0,male,25.0,0,0,1
1127,3,0,male,38.5,0,0,1
1129,3,0,male,14.5,8,2,1
1139,3,0,male,24.0,0,0,1
1140,3,1,female,21.0,0,0,0
1141,3,0,male,39.0,0,0,1
1145,3,1,female,1.0,1,1,0
1146,3,1,female,24.0,0,2,0
1147,3,1,female,4.0,1,1,0
1148,3,1,male,25.0,0,0,1
1149,3,0,male,20.0,0,0,1
1150,3,0,male,24.5,0,0,1
1154,3,1,male,29.0,0,0,1
1159,3,0,male,22.0,0,0,1
1161,3,0,male,40.0,0,0,1
1162,3,0,male,21.0,0,0,1
1163,3,1,female,18.0,0,0,0
1164,3,0,male,4.0,3,2,1
1165,3,0,male,10.0,3,2,1
1166,3,0,female,9.0,3,2,0
1167,3,0,female,2.0,3,2,0
1168,3,0,male,40.0,1,4,1
1169,3,0,female,45.0,1,4,0
1175,3,0,male,19.0,0,0,1
1176,3,0,male,30.0,0,0,1
1178,3,0,male,32.0,0,0,1
1180,3,0,male,33.0,0,0,1
1181,3,1,female,23.0,0,0,0
1182,3,0,male,21.0,0,0,1
1183,3,0,male,60.5,0,0,1
1184,3,0,male,19.0,0,0,1
1185,3,0,female,22.0,0,0,0
1186,3,1,male,31.0,0,0,1
1187,3,0,male,27.0,0,0,1
1188,3,0,female,2.0,0,1,0
1189,3,0,female,29.0,1,1,0
1190,3,1,male,16.0,0,0,1
1191,3,1,male,44.0,0,0,1
1192,3,0,male,25.0,0,0,1
1193,3,0,male,74.0,0,0,1
1194,3,1,male,14.0,0,0,1
1195,3,0,male,24.0,0,0,1
1196,3,1,male,25.0,0,0,1
1197,3,0,male,34.0,0,0,1
1198,3,1,male,0.4167,0,1,1
1202,3,1,female,16.0,1,1,0
1206,3,0,male,32.0,0,0,1
1209,3,0,male,30.5,0,0,1
1210,3,0,male,44.0,0,0,1
1212,3,1,male,25.0,0,0,1
1214,3,1,male,7.0,1,1,1
1215,3,1,female,9.0,1,1,0
1216,3,1,female,29.0,0,2,0
1217,3,0,male,36.0,0,0,1
1218,3,1,female,18.0,0,0,0
1219,3,1,female,63.0,0,0,0
1221,3,0,male,11.5,1,1,1
1222,3,0,male,40.5,0,2,1
1223,3,0,female,10.0,0,2,0
1224,3,0,male,36.0,1,1,1
1225,3,0,female,30.0,1,1,0
1227,3,0,male,33.0,0,0,1
1228,3,0,male,28.0,0,0,1
1229,3,0,male,28.0,0,0,1
1230,3,0,male,47.0,0,0,1
1231,3,0,female,18.0,2,0,0
1232,3,0,male,31.0,3,0,1
1233,3,0,male,16.0,2,0,1
1234,3,0,female,31.0,1,0,0
1235,3,1,male,22.0,0,0,1
1236,3,0,male,20.0,0,0,1
1237,3,0,female,14.0,0,0,0
1238,3,0,male,22.0,0,0,1
1239,3,0,male,22.0,0,0,1
1243,3,0,male,32.5,0,0,1
1244,3,1,female,38.0,0,0,0
1245,3,0,male,51.0,0,0,1
1246,3,0,male,18.0,1,0,1
1247,3,0,male,21.0,1,0,1
1248,3,1,female,47.0,1,0,0
1252,3,0,male,28.5,0,0,1
1253,3,0,male,21.0,0,0,1
1254,3,0,male,27.0,0,0,1
1256,3,0,male,36.0,0,0,1
1257,3,0,male,27.0,1,0,1
1258,3,1,female,15.0,1,0,0
1259,3,0,male,45.5,0,0,1
1262,3,0,female,14.5,1,0,0
1264,3,0,male,26.5,0,0,1
1265,3,0,male,27.0,0,0,1
1266,3,0,male,29.0,0,0,1
